design_range_nm,spec_energy_whkg,converged,run_id,objective_value,MTOW_kg,MTOW_lb,fuel_burn_kg,fuel_burn_lb,fuel_mileage_lb_per_nmi,W_battery_kg,S_ref_m2,cruise_hybridization,climb_hybridization,descent_hybridization,electric_percent,engine_rating_hp,motor_rating_hp,generator_rating_hp,MTOW_margin_lb,rotate_range_ft,Vstall_kn,SOC_final,doc_per_nmi,wall_time_s,error,start_name,starts_tried
450.0,700.0,True,run-20260503T202124-79503f36,54.33165616627031,5396.852610602188,11898.009202385794,0.3631300602484246,0.8005637934248818,0.0017790306520552,1646.979431452568,32.22648741264418,0.999,0.999,1.0,99.9,1.3171161237987088,618.0883752092085,1.277602678731437,-2.231318831036333e-06,1356.9999958762282,41.99999999991072,-1.6012828008005187e-09,,191.448131935962,,low,"low=OK(54.332),high=OK(54.332)"
450.0,750.0,True,run-20260503T202732-282eca26,51.36182944087043,5101.810479470415,11247.553419250064,0.3437246461662798,0.7577822294311037,0.0016839605098468,1455.47808951411,30.464688043297304,0.999,0.999,1.0,99.9,1.2468581804502747,584.5819323229592,1.209452435034816,-1.1823431123048067e-11,1357.0000000000089,42.00000000000003,1.0408340855860844e-14,,182.7546225119732,,high,"low=X(nan),high=OK(51.362)"
450.0,800.0,True,retry-warm-start,40.56221848201006,4028.529127413741,8881.375884878882,0.2769272078726462,0.6105192610201932,0.0013567094689337,1100.9324674617503,24.05575111695285,0.9989999996203456,0.9989999998263792,0.9999999998948036,99.89999996203456,1.010617516660657,471.28784607768574,1.0000000000000249,-2.051265255431645e-07,4452.099737524782,81.64146868250349,2.8459265499769515e-10,,84.97921846900135,,,
500.0,250.0,True,run-20260503T203213-4e034653,387.2016887101156,4043.0177559148015,8913.31780504489,346.7715111509675,764.4994089136459,1.5289988178272915,138.40136724199607,24.14226776622416,0.001,0.1207524044656211,0.01,0.1,874.9858196629709,463.99818572355167,848.7362449650116,1.2177604276075726e-06,1356.9999999088086,41.99999999992384,2.603180032645369e-09,,163.56046155595686,,low,"high=X(nan),low=OK(387.202)"
500.0,300.0,True,run-20260503T203440-fb36d62f,381.4821603439669,4107.9419974023685,9056.451086313207,340.4027403699432,750.4586894743842,1.5009173789487684,223.81818595924392,24.5299530341998,0.0010000000000369,0.2602678640744484,0.0100000000012317,0.1000000000036985,747.6070456087521,471.3738840719861,725.1788399122025,5.6789916698107845e-06,1356.9999999511535,42.00000000000425,-1.2166998423698838e-07,,162.68068443902305,,low,"high=X(nan),low=OK(381.482)"
500.0,350.0,True,run-20260503T203616-84d26475,375.5563504667383,4040.503408232197,8907.774623856865,335.1513163844164,738.8812951274119,1.477762590254824,188.536661335687,24.12725372029792,0.001,0.2598875734043183,0.01,0.1,736.0808504662425,463.712554240505,713.9984249523574,-6.267466687859269e-07,1356.9999999747863,41.99999999976391,1.1169086541057416e-08,,159.05876215401804,,low,"low=OK(375.556),high=X(nan)"
500.0,400.0,True,run-20260503T204219-6cb745eb,359.88229611482984,5700.0,12566.334,302.88229611482984,667.7403676606762,1.3354807353213525,1339.4310397605464,34.0366861029989,0.4172541043602919,0.5686650726235579,0.0100000018718838,41.72541043602919,598.8694954290959,652.4727598730548,580.9034105662382,6.640266747126589e-06,1356.9999999810125,42.00000000000847,-1.5251092995698795e-08,,148.1227207640186,,high,"low=OK(359.882),high=OK(359.882)"
500.0,450.0,True,run-20260503T204331-f384c5c3,324.88902793411205,5700.0,12566.334,267.88902793411205,590.593508764102,1.181187017528204,1401.4058116196834,34.03668610380157,0.5058349346764538,0.6340303047464256,0.0100000027318459,50.58349346764538,508.1157911782874,652.4727598722241,492.8723174429747,9.480633707426024e-06,1356.999999939671,41.99999999951324,-1.8968449338584853e-08,,195.28261656797252,,low,"low=OK(324.889),high=OK(324.889)"
500.0,500.0,True,run-20260503T204709-99666c94,287.0841097063801,5699.999999999978,12566.333999999952,230.0841097063804,507.24802994088014,1.0144960598817605,1465.9104716102215,34.03668610292372,0.5920997076367114,0.6977548632834474,0.061403845442552,59.20997076367114,419.640009591386,652.4727598706957,407.0508093037421,6.639788807660807e-06,1357.0000000093237,42.000000000054776,-1.1099702608430297e-08,,109.29455353098456,,high,"high=OK(287.084),low=OK(287.084)"
500.0,550.0,True,run-20260503T204858-d524259e,247.2221054560432,5700.0,12566.334,190.2221054560432,419.3674581305019,0.8387349162610038,1528.1447735727336,34.03668610301347,0.6630704019731961,0.7502324103395255,0.2261703898022271,66.30704019731961,346.7796870772889,652.4727598724522,336.3762964656512,6.553586899826769e-06,1356.999999986186,41.999999999999474,-9.59398387817556e-09,,184.1621019570157,,low,"low=OK(247.222),high=OK(247.222)"
500.0,600.0,True,run-20260503T205203-204130de,203.65585338496945,5700.0,12566.334,146.65585338496942,323.3204274895713,0.6466408549791426,1596.6858804311466,34.036686103145264,0.7404938391915059,0.8075339145680897,0.405231371087686,74.04938391915059,267.22174226122974,652.4727598754567,259.2050865229535,-3.159748303005472e-07,1356.99999994787,41.99999999991817,-1.2220238210236545e-08,,143.32283451897092,,low,"low=OK(203.656),high=OK(203.656)"
