design_range_nm,spec_energy_whkg,fuel_mileage_lb_per_nmi,fuel_mileage_lb_per_nmi_halfwidth,fuel_mileage_lb_per_nmi_colour_err,doc_per_nmi,doc_per_nmi_halfwidth,doc_per_nmi_colour_err,electric_percent,electric_percent_halfwidth,electric_percent_colour_err,MTOW_lb,MTOW_lb_halfwidth,MTOW_lb_colour_err
625.0,250.0,1.589913,0.005814,1.41,0.711591,0.010522,0.0,2.877864,0.291198,0.0,9328.234609,13.810789,1.0
625.0,300.0,1.572471,0.005814,1.41,0.688444,0.010522,0.0,2.877864,0.291198,1.41,9328.234609,13.810789,1.0
625.0,350.0,1.566657,0.005814,1.41,0.688444,0.010522,0.0,3.751457,0.291198,0.0,9286.802243,13.810789,1.0
625.0,400.0,1.55503,0.005814,1.41,0.688444,0.010522,0.0,4.625051,0.291198,1.0,9272.991454,13.810789,0.0
625.0,450.0,1.537588,0.005814,0.0,0.688444,0.010522,0.0,5.207447,0.291198,1.41,9272.991454,13.810789,1.41
625.0,500.0,1.520146,0.005814,1.41,0.688444,0.010522,0.0,5.789843,0.291198,1.41,9245.369877,13.810789,1.0
625.0,550.0,1.514332,0.005814,1.41,0.663192,0.010522,0.0,6.372239,0.291198,0.0,9217.7483,13.810789,0.0
625.0,600.0,1.182936,0.005814,0.0,0.663192,0.010522,7.0,45.975156,0.291198,1.0,12573.769939,13.810789,0.0
625.0,650.0,1.049216,0.005814,0.0,0.612688,0.010522,0.0,52.090312,0.291198,0.0,12573.769939,13.810789,0.0
625.0,700.0,0.915495,0.005814,1.41,0.562184,0.010522,0.0,58.787865,0.291198,1.0,12573.769939,13.810789,0.0
625.0,750.0,0.741076,0.005814,0.0,0.511681,0.010522,0.0,65.776615,0.291198,1.0,12573.769939,13.810789,0.0
625.0,800.0,0.572471,0.005814,1.41,0.463281,0.010522,0.0,73.930157,0.291198,1.0,12573.769939,13.810789,0.0
650.0,250.0,1.607355,0.005814,1.0,0.711591,0.010522,0.0,2.877864,0.291198,0.0,9438.720918,13.810789,1.0
650.0,300.0,1.601541,0.005814,1.0,0.711591,0.010522,0.0,2.877864,0.291198,1.41,9397.288552,13.810789,1.0
650.0,350.0,1.584099,0.005814,1.0,0.688444,0.010522,0.0,3.751457,0.291198,0.0,9397.288552,13.810789,1.41
650.0,400.0,1.566657,0.005814,1.41,0.688444,0.010522,0.0,4.333853,0.291198,1.0,9355.856186,13.810789,1.41
650.0,450.0,1.55503,0.005814,1.41,0.688444,0.010522,0.0,5.207447,0.291198,1.41,9355.856186,13.810789,1.41
650.0,500.0,1.543402,0.005814,1.0,0.688444,0.010522,0.0,5.207447,0.291198,1.41,9328.234609,13.810789,1.0
650.0,550.0,1.52596,0.005814,1.0,0.688444,0.010522,0.0,6.081041,0.291198,1.0,9286.802243,13.810789,1.0
650.0,600.0,1.316657,0.005814,1.0,0.663192,0.010522,0.0,35.200833,0.291198,1.0,11717.501043,13.810789,1.41
650.0,650.0,1.148053,0.005814,1.41,0.63794,0.010522,0.0,47.722344,0.291198,0.0,12573.769939,13.810789,0.0
650.0,700.0,0.99689,0.005814,1.41,0.587436,0.010522,0.0,54.419896,0.291198,1.41,12573.769939,13.810789,0.0
650.0,750.0,0.851541,0.005814,1.0,0.536932,0.010522,0.0,60.82625,0.291198,1.0,12573.769939,13.810789,0.0
650.0,800.0,0.68875,0.005814,1.0,0.487481,0.009469,0.0,68.106198,0.291198,1.0,12573.769939,13.810789,0.0
675.0,250.0,1.624797,0.005814,2.24,0.711591,0.010522,0.0,2.00427,0.291198,1.0,9507.774861,13.810789,1.41
675.0,300.0,1.613169,0.005814,1.41,0.711591,0.010522,0.0,2.877864,0.291198,1.41,9507.774861,13.810789,1.41
