fig,design_range_nm,spec_energy_whkg,source,metric,value,ref,ref_value,ref_halfwidth,err,rel_err,tol,within_tol
5,425.0,500.0,truth,fuel_mileage_lb_per_nmi,0.6552194982819808,paper,0.648974,0.044826,0.0062454982819807325,0.009623649455880717,0.064826,True
5,425.0,550.0,truth,fuel_mileage_lb_per_nmi,0.4173370509374277,paper,0.451739,0.044826,-0.03440194906257232,-0.07615448093384083,0.064826,True
5,425.0,600.0,truth,fuel_mileage_lb_per_nmi,0.14923094307589047,paper,0.14991,0.041838,-0.0006790569241095223,-0.004529764019141634,0.061838000000000004,True
5,425.0,650.0,truth,fuel_mileage_lb_per_nmi,0.0017821941555675323,paper,0.054281,0.041838,-0.05249880584443247,-0.967167256396022,0.061838000000000004,True
5,425.0,700.0,truth,fuel_mileage_lb_per_nmi,0.0016773933711731102,paper,0.054281,0.041838,-0.05260360662882689,-0.9690979648279672,0.061838000000000004,True
5,425.0,750.0,truth,fuel_mileage_lb_per_nmi,0.0015966187454784582,paper,0.054281,0.041838,-0.052684381254521545,-0.9705860476874328,0.061838000000000004,True
5,425.0,800.0,truth,fuel_mileage_lb_per_nmi,0.0015324183266745913,paper,0.054281,0.041838,-0.05274858167332541,-0.9717687896929941,0.061838000000000004,True
5,450.0,250.0,truth,fuel_mileage_lb_per_nmi,1.496255081020928,paper,1.449867,0.044826,0.04638808102092806,0.031994714702057545,0.07382334,True
5,450.0,300.0,truth,fuel_mileage_lb_per_nmi,1.462786448453484,paper,1.449867,0.044826,0.012919448453484028,0.00891078178445611,0.07382334,True
5,450.0,350.0,truth,fuel_mileage_lb_per_nmi,1.3411045929990169,paper,1.348261,0.044826,-0.007156407000983078,-0.005307879558173884,0.07179121999999999,True
5,450.0,400.0,truth,fuel_mileage_lb_per_nmi,1.1695461799111893,paper,1.151026,0.044826,0.01852017991118915,0.016090149059351525,0.06784652,True
5,450.0,450.0,truth,fuel_mileage_lb_per_nmi,0.9860460908017651,paper,1.04942,0.044826,-0.06337390919823493,-0.06038946198684505,0.0658144,True
5,450.0,500.0,truth,fuel_mileage_lb_per_nmi,0.7910158369600765,paper,0.852186,0.044826,-0.06117016303992351,-0.07178029566306358,0.064826,True
5,450.0,550.0,truth,fuel_mileage_lb_per_nmi,0.5774332647143953,paper,0.648974,0.044826,-0.07154073528560478,-0.11023667402023005,0.064826,False
5,450.0,600.0,truth,fuel_mileage_lb_per_nmi,0.34099231537885866,paper,0.350133,0.044826,-0.00914068462114137,-0.02610632137256805,0.064826,True
5,450.0,650.0,truth,fuel_mileage_lb_per_nmi,0.06947774001786003,paper,0.14991,0.041838,-0.08043225998213996,-0.5365369887408443,0.061838000000000004,False
5,450.0,700.0,truth,fuel_mileage_lb_per_nmi,0.0017790327706744935,paper,0.054281,0.041838,-0.05250196722932551,-0.9672254974913046,0.061838000000000004,True
5,450.0,750.0,truth,fuel_mileage_lb_per_nmi,0.0016839625734546,paper,0.054281,0.041838,-0.0525970374265454,-0.9689769426971758,0.061838000000000004,True
5,450.0,800.0,truth,fuel_mileage_lb_per_nmi,0.0016092251033858454,paper,0.054281,0.041838,-0.052671774896614156,-0.9703538051364963,0.061838000000000004,True
5,475.0,250.0,truth,fuel_mileage_lb_per_nmi,1.5128730776542105,paper,1.449867,0.044826,0.06300607765421051,0.04345645335345277,0.07382334,True
